2.949949, 2.840839, 2.739760, 2.766323, 
2.977246, 2.839295, 2.737945, 2.766632, 
2.978134, 2.840415, 2.739065, 2.767250, 
2.978791, 2.841303, 2.739992, 2.767945, 
2.979601, 2.842113, 2.740995, 2.768447, 
2.983038, 2.844468, 2.741613, 2.768910, 
2.980605, 2.843735, 2.742269, 2.769257, 
2.981068, 2.844121, 2.743003, 2.769682, 
2.980373, 2.844700, 2.743698, 2.770068, 
2.981686, 2.845279, 2.747443, 2.773041, 
2.982497, 2.845781, 2.744934, 2.770956, 
2.982034, 2.846245, 2.745474, 2.771420, 
2.983038, 2.846631, 2.745822, 2.771613, 
2.983771, 2.847210, 2.746246, 2.771921, 
MAX: 
[2.983771, 2.847210, 2.747443, 2.773041]
